,cost,target,path,target_index,vis3-angle,max-lo-fvis,max-la-fvis,max-lb-fvis,max-lm-fvis,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo
0,58273.0,"(1235, 437)","[(104, 477), (106, 460), (111, 445), (119, 431), (129, 417), (141, 405), (156, 394), (173, 384), (193, 375), (215, 367), (239, 360), (266, 354), (296, 349), (327, 345), (361, 342), (398, 340), (437, 339), (478, 339), (522, 341), (568, 343), (616, 346), (667, 351), (721, 356), (777, 362), (835, 370), (895, 378), (958, 388), (1024, 399), (1092, 410), (1162, 423), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38.204174296755916, 40.39378486494692, 42.4219771784181, 86.81661404638587, 89.95143993003089, 92.90492812683388, 95.50033794052212, 97.66385687615445, 99.66826363722652, 101.36451762338999, 102.88484460682213, 104.30335671196474, 105.45564179498962, 106.48918100354024]",0.78225806451612903226,0.98802139037953520872,0.99039171147671038745,0.99453451438177026445,0.78225806451612903226,1.0011376906719218775,1.0010197447442005799,1.0005364220667203701
1,51711.0,"(1235, 437)","[(104, 477), (129, 501), (154, 524), (181, 546), (209, 565), (237, 583), (267, 598), (297, 612), (328, 625), (360, 635), (393, 644), (427, 650), (462, 655), (497, 659), (533, 660), (571, 660), (609, 657), (648, 653), (688, 647), (729, 640), (770, 630), (813, 619), (856, 606), (900, 591), (945, 574), (991, 556), (1038, 536), (1086, 514), (1135, 490), (1184, 464), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.30772432645973, 32.26825070077657, 34.2592247225012, 70.89177334351402, 74.86873292334705, 78.8782969062424, 82.91182918383763, 86.87228036823751, 90.83980143173846, 94.80538012687288, 98.75998060363426, 102.6618198843073, 106.48918100354024]",0.97580645161290322581,0.99839335206884723679,0.99870690514131860415,0.99926167605824167701,0.97580645161290322581,1.0001457919747566540,1.0001288535096804097,1.0000682073692477832
2,68515.0,"(1235, 437)","[(104, 477), (100, 448), (100, 422), (102, 397), (107, 375), (115, 354), (126, 335), (140, 318), (157, 303), (176, 289), (198, 278), (223, 268), (251, 260), (281, 254), (315, 250), (351, 248), (390, 248), (432, 249), (477, 252), (525, 257), (575, 265), (628, 273), (684, 284), (743, 297), (805, 311), (869, 327), (937, 345), (1007, 365), (1080, 387), (1156, 411), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45.701053325213394, 47.46578292851157, 48.80509375952468, 98.47098118266845, 100.36453306047949, 101.88521471416891, 103.21481688958895, 104.2193454752489, 105.03439248161112, 105.61405056590038, 106.03285111787562, 106.31714410849605, 106.48918100354024]",0.62096774193548387097,0.97830671004321779586,0.98321362146339498710,0.99029418483224765847,0.62096774193548387097,1.0019993090511607614,1.0017335206396985137,1.0009262073597409047
3,51053.0,"(1235, 437)","[(104, 477), (131, 449), (158, 424), (187, 401), (216, 379), (246, 359), (277, 341), (308, 324), (340, 310), (373, 297), (407, 286), (441, 277), (476, 269), (512, 263), (549, 259), (586, 257), (624, 257), (663, 258), (703, 261), (743, 266), (784, 273), (826, 281), (868, 291), (911, 303), (955, 317), (1000, 332), (1045, 350), (1092, 369), (1139, 390), (1186, 412), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44.07670906008199, 46.36034087721785, 48.2922467927299, 98.10014193240266, 100.69193400370646, 102.93540914354912, 104.72494111279076, 106.06588512570585, 107.06374558076774, 107.88547804060352, 108.39362981681273, 108.66703100226532, 108.73559215525623, 108.7291073333339, 108.42713578756269, 108.1199749628745, 107.65845613060665, 107.14840017579658, 106.48918100354024]",0.97580645161290322581,0.99913577687139738286,0.99927377226781873588,0.99959883723561920847,0.97580645161290322581,1.0001047185236540004,1.0001034480641972215,1.0000519280126933165
4,64479.0,"(1235, 437)","[(104, 477), (181, 454), (256, 433), (328, 413), (397, 395), (464, 378), (527, 363), (588, 349), (647, 336), (702, 325), (755, 316), (805, 308), (852, 302), (897, 297), (939, 293), (978, 291), (1014, 290), (1048, 291), (1079, 294), (1107, 297), (1132, 303), (1155, 309), (1174, 318), (1192, 327), (1206, 339), (1218, 351), (1226, 365), (1233, 381), (1236, 398), (1237, 417), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 38.98938397681127, 42.857915326330215, 90.57393633849244, 95.77666193756139, 100.03862239094451, 103.58686959992244, 106.42666916866543, 108.82164572553557, 110.80203790518044, 112.32111302130573, 113.54079902220968, 114.42449740676264, 114.97816334707232, 115.42471888617041, 115.4915226822362, 115.50599908936846, 115.14951502033657, 114.78044981831758, 114.06067505282527, 113.309874767791, 112.30320319313506, 111.11888760594425, 109.76365103450854, 108.20290982928833, 106.48918100354024]",0.97580645161290322581,0.99941113373553030765,0.99946163428852692803,0.99971544981215567518,0.97580645161290322581,1.0001161606750265747,1.0001243209338157910,1.0000599024918343571
5,51057.0,"(1235, 437)","[(104, 477), (135, 502), (167, 527), (199, 549), (232, 569), (265, 588), (299, 604), (333, 619), (368, 632), (403, 643), (438, 652), (474, 659), (510, 664), (547, 667), (584, 669), (621, 669), (659, 666), (697, 662), (736, 656), (775, 648), (815, 638), (855, 627), (896, 613), (936, 598), (978, 580), (1019, 561), (1062, 540), (1104, 517), (1147, 492), (1191, 465), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.023914211213537, 31.83787426349339, 33.6486568856839, 69.3521919555917, 72.95376467358217, 76.70533564692555, 80.31332587932673, 84.12157095362612, 87.79237772458848, 91.55708228601387, 95.27432694977611, 99.02809134993254, 102.80728779064205, 106.48918100354024]",0.97580645161290322581,0.99851544013955643612,0.99878779011795472648,0.99931375552985411882,0.97580645161290322581,1.0001391487603948098,1.0001255541925388822,1.0000658216267361743
6,44261.0,"(1235, 437)","[(104, 477), (149, 485), (194, 492), (238, 499), (281, 505), (325, 511), (367, 516), (409, 520), (451, 524), (492, 527), (533, 529), (573, 531), (612, 532), (651, 532), (690, 532), (728, 531), (765, 529), (802, 527), (839, 524), (874, 520), (910, 516), (945, 511), (979, 505), (1013, 499), (1046, 492), (1079, 484), (1111, 476), (1143, 467), (1174, 458), (1204, 447), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.727311660278165, 32.548817345514664, 34.292789908768725, 70.19595208953993, 73.24774631118669, 76.13347038926638, 78.8430296739664, 81.4875119947604, 83.95905402066347, 86.3521081764584, 88.65764893419384, 90.88913285433875, 93.01207172135068, 95.08029821855493, 97.14291499059252, 99.07670795969524, 101.0141506169328, 102.83801236202657, 104.72529806655788, 106.48918100354024]",0.97580645161290322581,0.99904051293289283808,0.99917313965950335000,0.99954756950946300763,0.97580645161290322581,1.0001166210396858503,1.0001160633875851428,1.0000580312428476604
7,49587.0,"(1235, 437)","[(104, 477), (134, 451), (165, 427), (197, 405), (229, 384), (262, 365), (295, 348), (329, 332), (363, 318), (397, 306), (432, 296), (468, 287), (504, 280), (540, 274), (577, 270), (615, 268), (653, 268), (691, 269), (730, 272), (769, 276), (809, 282), (850, 290), (890, 300), (932, 311), (974, 324), (1016, 338), (1059, 355), (1102, 373), (1146, 392), (1190, 414), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42.03001293495354, 44.49402748592442, 46.64505684629156, 48.47197012719184, 98.36895774419861, 100.83362535933051, 102.92042091048833, 104.59037727248295, 105.9745364876944, 107.02652808067032, 107.78457303251022, 108.20571379556165, 108.55466076620374, 108.66214727436235, 108.65922799920165, 108.396879792325, 108.06203920318106, 107.69397684556998, 107.09595446912957, 106.48918100354024]",0.97580645161290322581,0.99913551924829655767,0.99930257668725441942,0.99960773235213989645,0.97580645161290322581,1.0001047685583560121,1.0001053461775860461,1.0000524144862891293
8,50433.0,"(1235, 437)","[(104, 477), (126, 498), (150, 517), (175, 535), (201, 552), (228, 567), (256, 580), (285, 592), (315, 602), (346, 611), (379, 618), (412, 624), (446, 628), (481, 631), (517, 632), (554, 631), (592, 629), (632, 625), (672, 620), (713, 613), (756, 605), (799, 595), (843, 584), (888, 571), (935, 556), (982, 540), (1031, 522), (1080, 503), (1131, 483), (1182, 460), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.853409723175517, 32.861416467585315, 68.1233411309315, 72.11274080932543, 76.03579803962879, 79.97794434450682, 83.98557049306915, 87.84881212763844, 91.75483713671721, 95.5148127203849, 99.21107718180782, 102.93236131331994, 106.48918100354024]",0.97580645161290322581,0.99851189357610406979,0.99871949209324576478,0.99929158488968050677,0.97580645161290322581,1.0001393094851738700,1.0001277824218830587,1.0000664655066970970
9,57317.0,"(1235, 437)","[(104, 477), (116, 503), (131, 527), (147, 549), (165, 570), (185, 588), (207, 605), (230, 620), (255, 632), (281, 643), (310, 653), (340, 660), (371, 665), (405, 668), (440, 670), (477, 670), (515, 667), (556, 663), (598, 657), (641, 649), (687, 639), (734, 627), (783, 614), (833, 598), (885, 581), (939, 562), (995, 540), (1052, 517), (1111, 492), (1172, 465), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.621781733847993, 33.04390276909146, 69.25694723031074, 74.11327896500913, 78.89186849495394, 83.65963474635441, 88.48287130263904, 93.1182953051077, 97.68967218109208, 102.17927418590824, 106.48918100354024]",0.87903225806451612903,0.99108372683181513461,0.99248447894301646086,0.99577962535161777584,0.87903225806451612903,1.0007838559467857182,1.0006975771876639692,1.0003679792690843598
