,cost,target,path,vis1-flat,vis2-dist,vis3-angle,vis4-angle-dist,no-vis,l_agnostic-vis1-flat,l_a-vis1-flat,l_b-vis1-flat,l_multi-vis1-flat,l_agnostic-vis2-dist,l_a-vis2-dist,l_b-vis2-dist,l_multi-vis2-dist,l_agnostic-vis3-angle,l_a-vis3-angle,l_b-vis3-angle,l_multi-vis3-angle,l_agnostic-vis4-angle-dist,l_a-vis4-angle-dist,l_b-vis4-angle-dist,l_multi-vis4-angle-dist,l_agnostic-no-vis,l_a-no-vis,l_b-no-vis,l_multi-no-vis
0,64309.0,"(1035, 567)","[(104, 477), (169, 515), (234, 549), (298, 578), (362, 602), (426, 622), (489, 637), (551, 648), (613, 654), (675, 655), (736, 652), (797, 644), (857, 632), (916, 615), (976, 593), (1035, 567)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27.70665895018169, 58.509343247221125, 125.75699201947361, 191.43471427719624, 253.00881778539298, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32.01187556771855, 34.609376538287464, 72.64713882750064, 77.70682421057728, 82.89721826146382, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.689944814145328, 79.75274394126292, 197.39688491309514, 355.9318043262854, 568.5724627872335, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",64309.37641136706,64309.34631279204,64309.2904470996,64309.27674910643,64309.37641136706,64309.50652878933,64309.14139694766,64309.14772579284,64309.37641136706,64309.16078751968,64309.1494941009,64309.14242513804,64309.37641136706,64309.00481245282,64309.16045687186,64309.220762105855,64309.54859297648,64309.54859297648,64309.54859297648,64309.54859297648
1,60853.0,"(1035, 567)","[(104, 477), (165, 504), (226, 528), (287, 549), (349, 567), (411, 582), (472, 594), (534, 603), (596, 609), (659, 612), (721, 612), (783, 609), (846, 603), (909, 594), (972, 582), (1035, 567)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 22.177857356945026, 56.07883582780153, 104.80265669589119, 171.1706368452584, 228.3097127487108, 273.81438777542064, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 30.66639334195586, 33.223332366861335, 69.71147284627534, 74.50148388002003, 79.13499088419721, 83.63800658252234, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 23.185519091405634, 69.5801967212644, 150.80281595564557, 285.871737754403, 447.28608641262446, 633.6778099115495, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60853.381125687396,60853.3180648398,60853.278502299225,60853.25532627469,60853.381125687396,60853.165026258524,60853.14628579611,60853.14485564438,60853.381125687396,60853.139866356454,60853.166508259856,60853.15360902274,60853.381125687396,60853.43385001879,60853.14962803034,60853.157993199835,60853.55657776874,60853.55657776874,60853.55657776874,60853.55657776874
2,79065.0,"(1035, 567)","[(104, 477), (226, 486), (340, 496), (445, 504), (541, 513), (629, 520), (708, 527), (779, 534), (841, 540), (895, 545), (940, 550), (976, 555), (1003, 558), (1022, 562), (1033, 564), (1035, 567)]","[0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 7.458631179065321, 71.25998553902156, 144.74349339040282, 225.26013527919343, 279.7078693372804, 312.6425005011369, 326.5298299313836, 327.3372786302508, 324.47181118162035, 316.2558693844046, 311.19755897320357, 305.04714713562186]","[0, 0, 0, 0, 30.070362697649827, 33.96778392273356, 72.13711209236871, 76.60061552774636, 80.05298856196947, 82.78374756228277, 84.79708995587185, 86.21220301018391, 87.28435170834743, 87.84846144915403, 88.19389782093415, 88.03128509223856]","[0, 0, 0, 0, 7.493700726031928, 92.98262521877376, 226.66779999618478, 406.7776836961567, 569.6423341875765, 703.7043987251398, 793.315486738782, 840.2240996616193, 869.1015414715885, 866.2072529838072, 864.2047183669454, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",79065.28366934862,79065.18283327967,79065.21425761186,79065.18841733824,79065.28366934862,79065.11864262413,79065.14722887294,79065.13680630045,79065.28366934862,79065.13600754215,79065.18359532046,79065.16386042154,79065.28366934862,79065.1142769001,79065.13514914208,79065.12765070431,79065.42534635025,79065.42534635025,79065.42534635025,79065.42534635025
3,62157.0,"(1035, 567)","[(104, 477), (186, 467), (266, 459), (342, 454), (416, 450), (487, 450), (555, 451), (620, 455), (682, 461), (741, 469), (797, 480), (851, 492), (901, 508), (948, 525), (993, 545), (1035, 567)]","[0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 52.84790059757074, 105.45215752712573, 191.9569340792412, 272.146711118253, 331.7643098632429, 372.1759123076277, 384.98688676059174, 377.6126079513181, 349.28302891817157, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 34.45088639480237, 37.274767361300285, 77.34774381597826, 80.79967103284518, 83.34382144652041, 85.39330235735588, 86.6312691227779, 87.50629418476669, 87.9417905918382, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 71.26106399716069, 172.96653029096154, 360.6197206474112, 575.029339019479, 768.9337057065603, 932.3273163812902, 1011.1477367703976, 1025.3584928180528, 962.8250523753948, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",62157.34292061825,62157.23703257495,62157.25220730303,62157.22407063747,62157.34292061825,62157.134790033684,62157.176962021054,62157.16444879431,62157.34292061825,62157.15445134899,62157.205935863094,62157.18571379668,62157.34292061825,62157.130061867305,62157.1631659029,62157.15353614574,62157.50889912798,62157.50889912798,62157.50889912798,62157.50889912798
4,59337.0,"(1035, 567)","[(104, 477), (179, 483), (253, 489), (324, 495), (394, 501), (462, 507), (528, 513), (592, 519), (654, 525), (714, 531), (772, 537), (829, 543), (883, 549), (935, 555), (986, 561), (1035, 567)]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 44.18863550806458, 85.57509727334195, 147.28444070456067, 212.2623167382788, 263.3237235489692, 297.22890057064086, 314.9029051209144, 317.2009787632044, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 32.307936901250066, 34.7927969747096, 72.18526293008932, 75.81681099043229, 79.01135890063324, 81.7193658545817, 84.07615438929233, 86.18467277216907, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 51.5542537461333, 118.11691215940095, 230.75642084710668, 373.14501437880284, 516.4865260421308, 642.6605101953198, 743.5966298427197, 812.6396488527346, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",59337.34932277813,59337.24811552921,59337.24597951414,59337.218095097094,59337.34932277813,59337.121805386305,59337.15861908406,59337.148689537964,59337.34932277813,59337.13786713667,59337.18250556069,59337.16494405549,59337.34932277813,59337.1194071037,59337.148491495165,59337.14087217711,59337.51856007221,59337.51856007221,59337.51856007221,59337.51856007221
5,61149.0,"(1035, 567)","[(104, 477), (149, 468), (197, 461), (248, 457), (300, 454), (355, 454), (413, 456), (473, 460), (535, 466), (599, 474), (666, 484), (735, 496), (806, 511), (880, 527), (956, 546), (1035, 567)]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 28.014830741473418, 77.32045235190287, 138.9832503526914, 226.2446458521203, 293.2536736509388, 335.3085367824832, 339.868936252026, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 32.49185340976406, 35.193398312585444, 73.44762624275903, 77.43612953581555, 80.71245108672989, 83.62972338287976, 85.99749809471501, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 33.09033455835961, 109.69537511098775, 229.40511321763026, 422.8468467497055, 613.8235577972821, 780.9842144272487, 866.0244476080109, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",61149.425369858756,61149.33204886262,61149.32064153937,61149.289742205394,61149.425369858756,61149.15648248611,61149.194131117714,61149.18517622781,61149.425369858756,61149.17743386615,61149.23567103314,61149.21377481947,61149.425369858756,61149.15826802076,61149.18412625076,61149.1783622415,61149.61074530697,61149.61074530697,61149.61074530697,61149.61074530697
6,70351.0,"(1035, 567)","[(104, 477), (210, 495), (310, 512), (404, 527), (491, 540), (572, 551), (647, 561), (715, 568), (777, 574), (833, 579), (883, 581), (926, 582), (962, 581), (993, 578), (1017, 573), (1035, 567)]","[0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 8.1910940212652, 54.37571879440861, 93.76343674437112, 157.7180834816615, 203.77978225095995, 237.92350878064025, 259.25020609008834, 273.5322651527003, 284.63431007575167, 294.9703890783942, 305.04714713562186]","[0, 0, 0, 0, 0, 29.619932698270524, 32.620765419110924, 68.5337891340971, 72.55200393907343, 75.85680997115023, 78.77287525113263, 81.16191871887082, 83.20167719566669, 85.0562511289822, 86.66572058892147, 88.03128509223856]","[0, 0, 0, 0, 0, 7.9861460221738705, 64.78550603916646, 131.52889233973514, 248.08310258967077, 356.9181319059347, 460.8192320945999, 547.1067623934556, 622.7460876638495, 695.9382071018103, 768.9176957338877, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",70351.2994828607,70351.19446812854,70351.21466983517,70351.18908728582,70351.2994828607,70351.11032183626,70351.14235762057,70351.13227419028,70351.2994828607,70351.13276837736,70351.17679740202,70351.15879509448,70351.2994828607,70351.10733214421,70351.13222449586,70351.12444789345,70351.4503451215,70351.4503451215,70351.4503451215,70351.4503451215
7,82443.0,"(1035, 567)","[(104, 477), (114, 522), (132, 562), (157, 596), (190, 625), (230, 648), (277, 665), (332, 677), (394, 683), (464, 683), (540, 678), (625, 667), (716, 650), (815, 628), (921, 600), (1035, 567)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20.411634836707094, 100.91158120282279, 222.48605485294428, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.314797733521036, 70.22918755995462, 79.29570461734718, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22.282785750788182, 147.24201885725478, 438.0838683091812, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",82443.54087549336,82443.54273407433,82443.5020782349,82443.50373030687,82443.54087549336,82443.02934238227,82441.95632349364,82443.00246509888,82443.54087549336,82444.24456458783,82443.28623333981,82443.33109581865,82443.54087549336,82443.07202744384,82443.03839340621,82443.07022392353,82443.73876743467,82443.73876743467,82443.73876743467,82443.73876743467
8,84283.0,"(1035, 567)","[(104, 477), (233, 474), (352, 473), (462, 473), (562, 474), (653, 477), (734, 480), (806, 485), (868, 491), (921, 498), (964, 507), (997, 516), (1021, 527), (1035, 539), (1039, 552), (1035, 567)]","[0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 46.779303208690635, 126.51880671662349, 247.06521372243742, 334.9007325886266, 389.7296488825177, 415.9921130696111, 417.56781489492295, 406.20991390564177, 384.77266400267047, 359.75195886884416, 333.7340010036348, 305.04714713562186]","[0, 0, 0, 0, 33.403800002208314, 73.16707141117259, 79.09600458781132, 83.3876845177432, 86.47051825496766, 88.65978831322437, 89.97865899292773, 90.73355108224769, 90.85943686895905, 90.4428782493053, 89.49980344790936, 88.03128509223856]","[0, 0, 0, 0, 58.7529981258792, 207.8438905393885, 490.41325391677134, 776.963320273381, 1019.2547865090507, 1189.2635749272872, 1261.00965730671, 1265.8205922092352, 1203.5067075021047, 1102.8522466164986, 980.5435245964869, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",84283.28232099157,84283.1921214151,84283.21126102154,84283.19121421535,84283.28232099157,84283.12838386546,84283.1583070186,84283.14687363649,84283.28232099157,84283.15632480502,84283.18205199088,84283.17004084525,84283.28232099157,84283.1233532609,84283.14356647027,84283.13598954816,84283.42035978667,84283.42035978667,84283.42035978667,84283.42035978667
9,95191.0,"(1035, 567)","[(104, 477), (244, 499), (374, 520), (492, 538), (599, 554), (695, 567), (779, 578), (853, 586), (915, 592), (966, 596), (1005, 597), (1034, 596), (1051, 592), (1057, 586), (1051, 577), (1035, 567)]","[0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 26.103386802564273, 79.75126413039624, 153.20527613247975, 207.5096929115811, 235.07166051016554, 245.1735854672271, 247.92422704342977, 248.3215105096732, 253.21702271737098, 263.5280712851719, 282.52813750344535, 305.04714713562186]","[0, 0, 0, 0, 30.783672478926874, 34.34012551837907, 72.31231776467779, 76.48431359588476, 79.65614719500276, 82.11415872173765, 84.03828808372495, 85.54294372834497, 86.67866020811135, 87.45353443532278, 87.92778419565792, 88.03128509223856]","[0, 0, 0, 0, 27.503734319150517, 106.72961095147991, 239.06125750757377, 371.01080099359353, 469.2626633243758, 534.9340426605347, 581.3018876435327, 616.9584326214219, 658.2242112163941, 707.3251442725667, 774.3222133279208, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",95191.27359017605,95191.1748078479,95191.1964599111,95191.17419001146,95191.27359017605,95191.12261316205,95191.14883886499,95191.13877280183,95191.27359017605,95191.13004362726,95191.16697624276,95191.15158204647,95191.27359017605,95191.11987174646,95191.1383906063,95191.13129203362,95191.40267370093,95191.40267370093,95191.40267370093,95191.40267370093
