,cost,target,path,target_index,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo
12,42743.0,"(1035, 307)","[(104, 477), (134, 506), (165, 532), (196, 557), (227, 579), (257, 598), (288, 615), (319, 630), (350, 642), (381, 652), (412, 660), (443, 665), (474, 668), (505, 668), (536, 666), (567, 662), (598, 655), (629, 645), (660, 634), (691, 620), (722, 603), (753, 584), (784, 563), (816, 539), (847, 513), (878, 485), (909, 454), (941, 421), (972, 385), (1003, 347), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
13,39623.0,"(1035, 307)","[(104, 477), (105, 477), (109, 478), (114, 478), (122, 477), (132, 477), (144, 475), (157, 473), (173, 471), (191, 468), (211, 465), (233, 462), (257, 457), (283, 453), (311, 448), (341, 443), (373, 437), (407, 430), (443, 423), (481, 416), (521, 409), (563, 400), (608, 392), (654, 383), (702, 373), (753, 363), (805, 353), (859, 342), (916, 331), (974, 319), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
14,46407.0,"(1035, 307)","[(104, 477), (173, 461), (239, 447), (303, 433), (365, 420), (424, 407), (480, 395), (533, 384), (584, 374), (632, 364), (678, 355), (721, 346), (761, 338), (798, 331), (833, 324), (866, 318), (895, 313), (923, 308), (947, 304), (969, 301), (988, 298), (1004, 296), (1018, 294), (1030, 294), (1038, 293), (1044, 294), (1048, 295), (1048, 297), (1046, 300), (1042, 303), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
15,35395.0,"(1035, 307)","[(104, 477), (112, 471), (122, 466), (133, 461), (146, 455), (161, 450), (177, 444), (195, 439), (214, 434), (235, 428), (258, 423), (282, 417), (307, 411), (334, 406), (363, 400), (393, 395), (425, 389), (458, 383), (493, 377), (530, 372), (568, 366), (608, 360), (649, 354), (692, 348), (736, 342), (782, 337), (829, 331), (878, 325), (929, 319), (981, 313), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
16,30063.0,"(1035, 307)","[(104, 477), (131, 468), (160, 460), (188, 452), (216, 444), (245, 437), (274, 429), (303, 422), (333, 415), (362, 408), (392, 401), (422, 395), (453, 388), (483, 382), (514, 376), (545, 371), (576, 365), (607, 360), (639, 354), (671, 349), (703, 345), (735, 340), (767, 335), (800, 331), (833, 327), (866, 323), (899, 319), (933, 316), (966, 313), (1000, 309), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
17,48545.0,"(1035, 307)","[(104, 477), (176, 478), (245, 479), (312, 480), (376, 480), (437, 479), (495, 478), (550, 477), (602, 475), (652, 473), (699, 470), (742, 466), (783, 462), (821, 458), (857, 453), (889, 448), (919, 442), (946, 435), (970, 428), (991, 421), (1009, 413), (1024, 405), (1037, 396), (1046, 386), (1053, 376), (1057, 366), (1058, 355), (1057, 344), (1052, 332), (1045, 319), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
18,34171.0,"(1035, 307)","[(104, 477), (154, 465), (203, 455), (251, 444), (297, 434), (342, 425), (386, 415), (428, 406), (469, 398), (509, 390), (547, 382), (584, 375), (620, 368), (655, 361), (688, 355), (719, 349), (750, 344), (779, 338), (806, 334), (833, 329), (858, 325), (881, 322), (904, 319), (925, 316), (944, 313), (963, 311), (980, 310), (995, 308), (1010, 307), (1023, 307), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
19,44549.0,"(1035, 307)","[(104, 477), (169, 484), (233, 490), (294, 495), (353, 500), (409, 503), (463, 506), (514, 508), (564, 509), (610, 509), (655, 508), (696, 506), (736, 504), (773, 500), (808, 496), (840, 491), (870, 484), (897, 477), (922, 470), (945, 461), (965, 451), (983, 441), (998, 429), (1011, 417), (1022, 404), (1030, 390), (1036, 375), (1039, 359), (1040, 342), (1038, 325), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
20,35513.0,"(1035, 307)","[(104, 477), (155, 481), (206, 485), (255, 488), (302, 490), (348, 492), (393, 492), (436, 493), (478, 492), (518, 491), (557, 489), (595, 487), (631, 483), (665, 479), (699, 475), (730, 470), (761, 463), (789, 457), (817, 449), (843, 441), (868, 433), (891, 423), (912, 413), (933, 402), (952, 390), (969, 378), (985, 365), (999, 352), (1013, 337), (1024, 322), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
21,48529.0,"(1035, 307)","[(104, 477), (176, 470), (246, 463), (314, 457), (378, 450), (439, 444), (498, 438), (553, 431), (606, 425), (656, 419), (703, 413), (747, 407), (788, 401), (826, 395), (861, 390), (894, 384), (923, 378), (950, 373), (974, 367), (995, 362), (1013, 357), (1028, 351), (1040, 346), (1050, 341), (1056, 336), (1060, 331), (1060, 326), (1058, 321), (1053, 316), (1045, 311), (1035, 307)]",1,-7.2500000000000000000,-0.19741175374526975972,-0.37620096000922321571,-0.28795401921132740940
