,cost,target,path,target_index,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo
12,52836.99999999999,"(1035, 567)","[(104, 477), (177, 459), (247, 443), (315, 428), (379, 414), (441, 402), (500, 392), (556, 383), (609, 375), (659, 369), (706, 364), (750, 360), (791, 358), (829, 358), (865, 359), (897, 361), (927, 365), (953, 370), (977, 376), (998, 384), (1016, 394), (1031, 405), (1043, 417), (1052, 431), (1058, 446), (1062, 462), (1062, 480), (1060, 500), (1054, 521), (1046, 543), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
13,41127.0,"(1035, 567)","[(104, 477), (151, 450), (197, 426), (242, 404), (286, 384), (329, 366), (370, 350), (411, 335), (450, 323), (488, 313), (526, 305), (562, 299), (597, 295), (630, 293), (663, 293), (695, 295), (725, 299), (755, 305), (783, 313), (810, 323), (836, 335), (861, 349), (885, 365), (907, 383), (929, 404), (949, 426), (968, 450), (987, 476), (1004, 504), (1020, 534), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
14,54589.0,"(1035, 567)","[(104, 477), (183, 473), (259, 469), (332, 467), (401, 464), (467, 462), (530, 461), (589, 460), (645, 459), (698, 459), (747, 460), (793, 461), (836, 462), (876, 464), (912, 466), (944, 469), (974, 472), (1000, 476), (1022, 480), (1042, 485), (1058, 490), (1070, 495), (1080, 501), (1086, 508), (1088, 515), (1088, 522), (1084, 530), (1076, 539), (1066, 547), (1052, 557), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
15,37349.0,"(1035, 567)","[(104, 477), (158, 464), (210, 453), (261, 443), (311, 434), (359, 426), (405, 419), (449, 413), (492, 409), (534, 405), (574, 402), (612, 400), (648, 400), (683, 400), (717, 402), (749, 404), (779, 408), (808, 412), (835, 418), (860, 424), (884, 432), (906, 441), (927, 451), (946, 461), (963, 473), (979, 486), (993, 500), (1006, 515), (1017, 531), (1027, 548), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
16,34455.0,"(1035, 567)","[(104, 477), (113, 483), (123, 488), (135, 494), (149, 500), (164, 505), (181, 510), (199, 515), (219, 519), (240, 524), (263, 528), (287, 532), (312, 536), (340, 539), (368, 542), (399, 546), (431, 548), (464, 551), (499, 554), (535, 556), (573, 558), (612, 560), (653, 561), (695, 563), (739, 564), (785, 565), (832, 566), (880, 566), (930, 566), (982, 567), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
17,45187.0,"(1035, 567)","[(104, 477), (102, 500), (102, 522), (105, 543), (110, 562), (117, 580), (127, 597), (139, 612), (153, 625), (169, 637), (188, 648), (209, 658), (232, 666), (257, 672), (285, 677), (315, 681), (347, 683), (381, 684), (418, 684), (457, 682), (498, 678), (542, 673), (587, 667), (635, 660), (686, 651), (738, 640), (793, 628), (850, 615), (909, 600), (971, 584), (1035, 567)]",3,-260.25000000000000000,-11.020290546703471873,-18.810621314801583901,-14.977299294175542081
18,40701.0,"(1035, 567)","[(104, 477), (110, 501), (118, 525), (128, 547), (140, 567), (153, 586), (168, 603), (185, 619), (203, 633), (223, 646), (245, 658), (269, 667), (294, 676), (321, 682), (349, 688), (379, 692), (411, 694), (445, 694), (480, 694), (517, 691), (556, 688), (596, 682), (638, 675), (681, 667), (727, 657), (774, 646), (823, 633), (873, 619), (925, 603), (979, 585), (1035, 567)]",3,-203.25000000000000000,-15.069376615777436463,-20.951457462100898777,-18.057111803807481376
19,47635.0,"(1035, 567)","[(104, 477), (103, 452), (105, 430), (109, 410), (115, 391), (124, 375), (134, 360), (147, 347), (162, 336), (179, 327), (198, 319), (219, 314), (243, 310), (268, 309), (296, 309), (326, 311), (358, 315), (393, 321), (429, 328), (468, 338), (508, 349), (551, 363), (596, 378), (644, 395), (693, 414), (744, 435), (798, 457), (854, 482), (912, 508), (972, 536), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
20,44277.0,"(1035, 567)","[(104, 477), (171, 487), (237, 497), (300, 507), (360, 516), (418, 525), (473, 533), (526, 540), (576, 547), (623, 554), (668, 560), (711, 565), (751, 570), (788, 574), (823, 578), (855, 582), (885, 584), (912, 586), (937, 588), (959, 589), (979, 590), (996, 590), (1010, 589), (1022, 588), (1032, 587), (1038, 585), (1043, 582), (1044, 579), (1044, 575), (1040, 571), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
21,38035.0,"(1035, 567)","[(104, 477), (136, 451), (168, 427), (200, 405), (233, 386), (265, 368), (297, 352), (328, 338), (360, 326), (392, 317), (423, 309), (455, 303), (486, 299), (517, 297), (549, 297), (580, 299), (611, 303), (642, 309), (672, 317), (703, 327), (734, 339), (764, 353), (795, 368), (825, 386), (855, 406), (885, 428), (915, 452), (945, 477), (975, 505), (1005, 535), (1035, 567)]",3,-7.2500000000000000000,-0.24489297904003080737,-0.46385604278918135357,-0.35611274421056679835
