,cost,target,path,target_index,vis3-angle,max-lo-fvis,max-la-fvis,max-lb-fvis,max-lm-fvis,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo,max-lo-fog,max-la-fog,max-lb-fog,max-lm-fog
0,112751.0,"(1235, 437)","[(104, 477), (248, 483), (382, 489), (507, 493), (621, 495), (726, 497), (821, 497), (906, 495), (982, 493), (1047, 489), (1103, 483), (1149, 477), (1185, 469), (1211, 459), (1228, 449), (1235, 437)]",2,"[0, 0, 0, 0, 34.99023168433659, 76.672463473752, 83.0834264927156, 88.16079571876507, 92.14478271448033, 95.3917085388, 98.16454017797764, 100.37050276999071, 102.27604450439847, 103.94545885564546, 105.29305977040264, 106.48918100354024]",0.95312500000000,0.99859286778630050155,0.99872009991343882131,0.99932002528878469286,0.95312500000000,0.99961114451676498046,0.99968093465044757422,0.99982408211450730606,0.90625000000000,0.90625000000000,0.90625000000000,0.90625000000000
1,97721.0,"(1235, 437)","[(104, 477), (165, 518), (229, 554), (295, 583), (362, 606), (432, 622), (503, 632), (577, 636), (652, 633), (730, 624), (809, 609), (890, 587), (973, 559), (1058, 525), (1145, 484), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 29.395744805063412, 33.024990987113995, 71.51794686252055, 78.64769996932068, 85.70568679327305, 92.67845239799308, 99.63315729654423, 106.48918100354024]",0.953125000000000,0.99730631113831506757,0.99786120209402255470,0.99877669428435544305,0.953125000000000,0.99784758961470980356,0.99893566959028714425,0.99927684004980825595,0.906250000000000,0.906250000000000,0.906250000000000,0.906250000000000
2,123809.0,"(1235, 437)","[(104, 477), (258, 453), (402, 433), (534, 415), (655, 401), (764, 389), (862, 381), (949, 375), (1025, 373), (1089, 373), (1141, 376), (1183, 382), (1213, 391), (1231, 403), (1239, 419), (1235, 437)]",2,"[0, 0, 0, 35.695939119205754, 82.5103584251453, 91.49448160972958, 97.77102765725078, 102.3382554735507, 105.46830028781966, 107.64712795981691, 108.98366791793197, 109.67008803381327, 109.72889035560576, 109.20701859061043, 108.09283963988233, 106.48918100354024]",0.95312500000000,0.99880169809991051575,0.99889902034139783220,0.99941909872169291319,0.95312500000000,0.99971422700730005377,0.99975848914782066806,0.99986874139855672233,0.90625000000000,0.90625000000000,0.90625000000000,0.90625000000000
3,126655.0,"(1235, 437)","[(104, 477), (102, 438), (112, 404), (133, 375), (164, 352), (207, 334), (260, 321), (325, 313), (400, 310), (487, 313), (584, 321), (692, 333), (811, 351), (941, 375), (1083, 403), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 40.81935194281689, 44.75290477469365, 94.06642972264703, 98.65561339184049, 102.00566800856308, 104.63951306925972, 106.48918100354024]",0.703125000000000000,0.98206455104311116182,0.98675367473564728800,0.99218015168227688417,0.703125000000000000,0.98095611862573255324,0.99258636615575912404,0.99456605910358573938,0.48958333333333333333,0.48958333333333333333,0.48958333333333333333,0.48958333333333333333
4,100823.0,"(1235, 437)","[(104, 477), (171, 423), (240, 376), (310, 337), (381, 305), (453, 280), (526, 263), (601, 253), (676, 250), (753, 255), (830, 267), (909, 286), (989, 313), (1069, 347), (1151, 388), (1235, 437)]",2,"[0, 0, 0, 0, 0, 41.82835639147892, 46.98358040792357, 99.8026560475511, 104.87038601023127, 108.04457024129401, 109.7968499596551, 110.53100863791911, 110.33822976074813, 109.4943273282056, 108.20370480952542, 106.48918100354024]",0.95312500000000,0.99847692311056954621,0.99874152331486887127,0.99930062290759151752,0.95312500000000,0.99947375042003888099,0.99966241616467665379,0.99979343677817796524,0.90625000000000,0.90625000000000,0.90625000000000,0.90625000000000
5,95573.0,"(1235, 437)","[(104, 477), (206, 507), (304, 532), (399, 553), (490, 569), (577, 580), (660, 587), (739, 589), (814, 586), (886, 579), (954, 567), (1018, 550), (1078, 529), (1134, 503), (1186, 472), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 31.89893134828273, 68.35013726791692, 73.96108304906593, 79.1322988350428, 84.0120532068905, 88.69894783868841, 93.18489041812379, 97.62087240104245, 102.05866442736055, 106.48918100354024]",0.953125000000000,0.99814994275222282768,0.99834076008811490366,0.99910863595536995019,0.953125000000000,0.99928069913523891255,0.99944114838003701718,0.99968337288865395891,0.906250000000000,0.906250000000000,0.906250000000000,0.906250000000000
6,86437.0,"(1235, 437)","[(104, 477), (185, 486), (266, 494), (346, 500), (424, 505), (503, 507), (580, 508), (656, 507), (731, 504), (806, 500), (880, 494), (952, 486), (1024, 476), (1095, 465), (1165, 451), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 32.33474362038315, 35.84941989976488, 76.29151689390348, 81.8348639301212, 86.8449001625633, 91.37243499672263, 95.59930744290469, 99.44369998282602, 103.13616106773247, 106.48918100354024]",0.953125000000000,0.99802612224896309114,0.99837392553023669835,0.99909112526979376194,0.953125000000000,0.99910279407872789099,0.99945583911245796143,0.99965881134356934710,0.906250000000000,0.906250000000000,0.906250000000000,0.906250000000000
7,122817.0,"(1235, 437)","[(104, 477), (260, 479), (405, 480), (538, 481), (660, 481), (770, 480), (868, 479), (955, 477), (1031, 474), (1094, 471), (1147, 467), (1187, 462), (1216, 457), (1234, 451), (1240, 444), (1235, 437)]",2,"[0, 0, 0, 31.75026019593816, 73.29321599824567, 81.58454231512798, 87.67780717025632, 92.37934430974195, 96.08043305624534, 98.87476823608412, 101.15413853524927, 102.92782178089092, 104.26675377152196, 105.30893588007322, 106.06015237269611, 106.48918100354024]",0.95312500000000,0.99871626693785421983,0.99882003810448928489,0.99937699742652734811,0.95312500000000,0.99968424683371592342,0.99973336750008371923,0.99985499214179779133,0.90625000000000,0.90625000000000,0.90625000000000,0.90625000000000
8,120261.0,"(1235, 437)","[(104, 477), (101, 481), (110, 485), (130, 488), (161, 489), (203, 490), (257, 489), (321, 488), (396, 485), (483, 481), (580, 477), (689, 471), (809, 464), (940, 456), (1082, 447), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.11428115023263, 76.74846239117626, 85.78879451950007, 93.70480098196326, 100.56806649545305, 106.48918100354024]",0.890625000000000000,0.99281491494335390126,0.99387798276862064607,0.99659144197607380815,0.890625000000000000,0.99152253936177895476,0.99501518204995931408,0.99676821084118485221,0.78958333333333333333,0.78958333333333333333,0.78958333333333333333,0.78958333333333333333
9,116173.0,"(1235, 437)","[(104, 477), (252, 463), (389, 451), (517, 441), (634, 432), (740, 425), (836, 419), (922, 415), (998, 412), (1063, 411), (1117, 411), (1162, 413), (1195, 417), (1219, 422), (1232, 428), (1235, 437)]",2,"[0, 0, 0, 33.08451731517276, 76.92134339663781, 85.72184170256773, 92.22173327582576, 96.99561430997352, 100.59725833185198, 103.1842913290048, 105.05926964814788, 106.32880764126278, 106.98816706002785, 107.27122748867612, 107.146720653616, 106.48918100354024]",0.95312500000000,0.99875755363858914875,0.99885733819069979601,0.99939711094269035631,0.95312500000000,0.99969846855927851573,0.99974486037766056410,0.99986139012137149925,0.90625000000000,0.90625000000000,0.90625000000000,0.90625000000000
