,cost,target,path,target_index,vis3-angle,max-lo-fvis,max-la-fvis,max-lb-fvis,max-lm-fvis,ratio-lo-fvis,ratio-la-fvis,ratio-lb-fvis,ratio-lm-fvis,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo,ratio-lo-fcombo,ratio-la-fcombo,ratio-lb-fcombo,ratio-lm-fcombo,max-lo-fog,max-la-fog,max-lb-fog,max-lm-fog,ratio-lo-fog,ratio-la-fog,ratio-lb-fog,ratio-lm-fog
0,31525.0,"(735, 307)","[(104, 477), (157, 485), (209, 492), (259, 495), (308, 495), (355, 492), (400, 487), (444, 478), (486, 467), (526, 453), (565, 436), (602, 416), (638, 393), (672, 367), (704, 338), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 32.81305020264931, 35.89192992624979, 38.9029990263225, 82.19634317838738, 88.1808003930206, 94.16884560748028, 100.12211355789128]",0.25331575305026655,0.25561799229322757,0.25446762148374247,0.2549649302831186,0.24874718828486128,0.2510079065053029,0.24987828270220835,0.25036662250762737,0.25331575305026655,0.24771915273443273,0.2514895485612311,0.25086407103009506,0.2524602849682131,0.24688258483083467,0.25064024772157323,0.2500168824793789,0.2526609460033302,0.2526609460033302,0.2526609460033302,0.2526609460033302,0.25,0.25,0.25,0.25
1,37439.0,"(735, 307)","[(104, 477), (151, 426), (198, 381), (244, 342), (290, 308), (334, 280), (378, 258), (421, 241), (463, 230), (504, 224), (544, 224), (584, 229), (623, 240), (661, 257), (698, 279), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 47.13227154344545, 49.58614261042338, 51.16849653304199, 102.63883583843821, 103.32480311323039, 102.96879531357467, 101.88692936665132, 100.12211355789128]",0.255327452662979,0.2578183895845685,0.2580135355993249,0.25799990095519193,0.24809323291549076,0.25051359385756855,0.250703210779629,0.25068996244731173,0.255327452662979,0.2561038221109677,0.2575278327795537,0.2572518616920814,0.24880600608925743,0.24956254589564777,0.2509501851932796,0.2506812628218152,0.2537854843800317,0.2537854843800317,0.2537854843800317,0.2537854843800317,0.25,0.25,0.25,0.25
2,41729.0,"(735, 307)","[(104, 477), (158, 512), (210, 541), (261, 563), (310, 578), (358, 587), (403, 589), (447, 584), (489, 573), (529, 555), (568, 530), (605, 499), (640, 461), (673, 416), (705, 365), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.53075452677594, 34.033044819107985, 73.93008518906555, 82.01871405323183, 90.71747888411102, 100.12211355789128]",0.25319907411085246,0.25511587007610037,0.25442034690757287,0.25476898887886834,0.24884325215563044,0.2507270731900717,0.25004351521177437,0.2503861594425235,0.25319907411085246,0.24705320603162895,0.2509468844530677,0.2500155338597466,0.2528918867266888,0.24675347496674802,0.2506424294811454,0.24971220882541792,0.25268693839775547,0.25268693839775547,0.25268693839775547,0.25268693839775547,0.25,0.25,0.25,0.25
3,89625.0,"(735, 307)","[(104, 477), (243, 430), (368, 388), (480, 352), (578, 320), (662, 294), (731, 273), (787, 256), (830, 245), (858, 239), (872, 237), (872, 241), (859, 250), (831, 264), (790, 283), (735, 307)]",0,"[0, 0, 0, 37.294793847556775, 44.57826114989712, 97.56858767058651, 104.50404048548143, 109.42348800053108, 112.5702712614785, 114.33057505922994, 115.05130210845496, 114.56238168816796, 113.00763585120674, 110.21242489105151, 106.04356371299127, 100.12211355789128]",0.2516243116696045,0.2509883232478716,0.25114060905260427,0.25106342130443454,0.25041813135221136,0.24978519158945464,0.2499367474005747,0.24985992965775927,0.2516243116696045,0.25099837820774634,0.2513300777887121,0.2511902152336617,0.2503368336151506,0.24971410284698425,0.2500441052313304,0.24990495830653484,0.2519513352107696,0.2519513352107696,0.2519513352107696,0.2519513352107696,0.25,0.25,0.25,0.25
4,42103.0,"(735, 307)","[(104, 477), (99, 479), (101, 480), (110, 479), (125, 476), (147, 471), (176, 463), (212, 454), (254, 443), (302, 429), (358, 414), (420, 396), (488, 377), (564, 356), (646, 332), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35.86107479043291, 41.28827837748365, 91.0612863142135, 100.12211355789128]",0.2533372612994816,0.2572163094319336,0.25522483371500165,0.25610118585802216,0.2479130258624768,0.2517090192155648,0.24976018323153404,0.2506177716904242,0.2533372612994816,0.26465468026272565,0.24685058490462217,0.2227698808167201,0.25651486294738995,0.26797423595625375,0.24994682436563384,0.22556407673072248,0.25284465573708387,0.25284465573708387,0.25284465573708387,0.25284465573708387,0.25,0.25,0.25,0.25
5,32001.0,"(735, 307)","[(104, 477), (132, 486), (163, 493), (195, 496), (229, 497), (266, 495), (304, 489), (344, 481), (386, 469), (430, 455), (476, 438), (524, 418), (574, 394), (625, 368), (679, 339), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34.968919895016015, 39.082493394686054, 84.48228674339764, 92.39886374939084, 100.12211355789128]",0.25329596426522083,0.2561342658561742,0.25490726977016703,0.25548577503463427,0.2483724097035848,0.2511555405270687,0.24995239473095415,0.25051965503839235,0.25329596426522083,0.2016436581612768,0.25006468217299954,0.24762351117271014,0.2658918415686794,0.211670974563999,0.2624998745919415,0.2599373092753802,0.2527290704264804,0.2527290704264804,0.2527290704264804,0.2527290704264804,0.25,0.25,0.25,0.25
6,98839.0,"(735, 307)","[(104, 477), (240, 524), (363, 563), (473, 593), (569, 615), (651, 629), (720, 635), (776, 632), (818, 620), (847, 601), (862, 573), (863, 536), (851, 491), (826, 438), (787, 376), (735, 307)]",0,"[0, 0, 0, 0, 0, 29.5333058420943, 32.13812832583976, 34.38812389651902, 71.14110022611604, 74.74522416015438, 78.23483067323178, 81.77349968269603, 85.49427576569553, 89.59043575871655, 94.38788854183554, 100.12211355789128]",0.25331024633735616,0.25430667324371725,0.2538916109399873,0.2540864077813714,0.24942054827563878,0.25040167457785,0.24999298575115722,0.25018479139535404,0.25331024633735616,0.2517959537090181,0.25207966835236933,0.2519773982193879,0.2510101731964933,0.24950963044149121,0.24979076893784377,0.2496894274241716,0.25257116949212965,0.25257116949212965,0.25257116949212965,0.25257116949212965,0.25,0.25,0.25,0.25
7,68133.0,"(735, 307)","[(104, 477), (209, 519), (306, 555), (393, 582), (471, 602), (541, 614), (601, 618), (652, 614), (694, 603), (727, 584), (751, 557), (766, 522), (772, 480), (768, 430), (756, 372), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 0, 30.267893918925097, 32.5620360667113, 67.91152773391062, 72.33442810132513, 76.9155424998886, 81.71791102541584, 86.97287483134814, 93.06121046577707, 100.12211355789128]",0.2532164905902082,0.2543083797906805,0.2539755647104836,0.25414569161165984,0.2493156660895207,0.25039073463137274,0.2500630465996394,0.25023055267946714,0.2532164905902082,0.2514792585001293,0.2518731330480313,0.2517181080389632,0.2511353345396967,0.2494123805523867,0.24980301789248835,0.24964926701542825,0.25259230121556864,0.25259230121556864,0.25259230121556864,0.25259230121556864,0.25,0.25,0.25,0.25
8,37745.0,"(735, 307)","[(104, 477), (185, 459), (262, 442), (332, 426), (397, 411), (456, 397), (510, 384), (558, 371), (600, 360), (636, 350), (667, 340), (692, 331), (711, 324), (724, 317), (732, 311), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 36.57103523232906, 39.92970944403689, 83.53392708432472, 87.81219024688284, 91.4414570765041, 94.33565044199108, 96.46429176560424, 98.16947696251322, 99.42371635747114, 100.12211355789128]",0.2547371345711111,0.2570309800707015,0.2562636946803228,0.2566428265159147,0.24860294737633412,0.25084155602278935,0.25009274721700564,0.25046274938387086,0.2547371345711111,0.25407319260877725,0.25338729737365245,0.25363585563099467,0.2507666261647881,0.2501130328591085,0.24943782845946594,0.24968251251663745,0.2531040242242182,0.2531040242242182,0.2531040242242182,0.2531040242242182,0.25,0.25,0.25,0.25
9,60267.0,"(735, 307)","[(104, 477), (178, 533), (247, 579), (312, 616), (373, 644), (429, 661), (480, 669), (527, 667), (569, 656), (606, 635), (639, 605), (667, 564), (691, 514), (710, 455), (725, 385), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.114203657833965, 33.33153236055301, 72.17404763950182, 80.15428148592542, 89.52175369424586, 100.12211355789128]",0.25313369523351564,0.25493355225131586,0.2542871411529046,0.2546127328873039,0.24891040219069946,0.2506802303195589,0.25004460397065403,0.25036476351908765,0.25313369523351564,0.2468723391894482,0.2509234582697927,0.2499659635828996,0.25290722786916137,0.24665147357953154,0.2506989683053231,0.24974233024598383,0.25266216675502823,0.25266216675502823,0.25266216675502823,0.25266216675502823,0.25,0.25,0.25,0.25
10,74603.0,"(735, 307)","[(104, 477), (94, 539), (93, 591), (98, 633), (111, 663), (131, 684), (159, 694), (194, 693), (236, 682), (285, 660), (342, 627), (406, 584), (477, 531), (555, 466), (641, 392), (735, 307)]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.53047995409497, 82.56616016320322, 100.12211355789128]",0.25331020424647344,0.2564718654572957,0.2555047026852455,0.2560961670639312,0.24800708378989247,0.2511025547329608,0.25015563978589084,0.2507347216912558,0.25331020424647344,0.26466770288271657,0.5665247505394865,0.2691216157840771,0.1871347974577488,0.19552523405007807,0.41852437315890095,0.1988155953332721,0.25293286188121866,0.25293286188121866,0.25293286188121866,0.25293286188121866,0.25,0.25,0.25,0.25
