,cost,target,path,target_index,vis3-angle,max-lo-fvis,max-la-fvis,max-lb-fvis,max-lm-fvis,ratio-lo-fvis,ratio-la-fvis,ratio-lb-fvis,ratio-lm-fvis,max-lo-fcombo,max-la-fcombo,max-lb-fcombo,max-lm-fcombo,ratio-lo-fcombo,ratio-la-fcombo,ratio-lb-fcombo,ratio-lm-fcombo,max-lo-fog,max-la-fog,max-lb-fog,max-lm-fog,ratio-lo-fog,ratio-la-fog,ratio-lb-fog,ratio-lm-fog
0,100291.00000000001,"(1235, 437)","[(104, 477), (230, 468), (349, 460), (460, 453), (565, 446), (662, 441), (752, 437), (835, 433), (910, 430), (978, 429), (1039, 428), (1093, 428), (1139, 429), (1178, 430), (1210, 433), (1235, 437)]",2,"[0, 0, 0, 0, 35.26175652931231, 78.12126031073197, 85.1382396679343, 90.64228355538887, 94.87739783442919, 98.09209290001098, 100.68452961303791, 102.69252699202144, 104.1840576434073, 105.35470066861205, 106.0818161869069, 106.48918100354024]",0.2490098559017831,0.25280553801603456,0.2521908520126068,0.2525333008604994,0.24739202418393094,0.25116304552765556,0.25055235317544,0.2508925771129737,0.2490098559017831,0.2475946976804523,0.24685613652169133,0.2471829562423708,0.25136168471900455,0.24993316072195457,0.24918762405850858,0.24951753050053227,0.2446281697346441,0.2446281697346441,0.2446281697346441,0.2446281697346441,0.25,0.25,0.25,0.25
1,86387.0,"(1235, 437)","[(104, 477), (166, 475), (230, 473), (296, 472), (364, 470), (434, 468), (506, 465), (579, 463), (655, 460), (732, 457), (811, 454), (892, 451), (975, 448), (1060, 444), (1146, 440), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 30.966481593401873, 34.900893223194075, 75.30146607327585, 81.50697715930626, 86.98099922982405, 91.81862730500319, 96.10509103516696, 100.00694720713923, 103.45343853625266, 106.48918100354024]",0.24537700599806841,0.24958293407000232,0.24855970727465304,0.24909404617017686,0.24720292254851847,0.2514401480667852,0.2504093071645929,0.25094762222010336,0.24537700599806841,0.24351097677034148,0.24315768885858377,0.24327672744274326,0.2515855333909169,0.24967228990393578,0.249310063103757,0.24943211360139045,0.24233300615419984,0.24233300615419984,0.24233300615419984,0.24233300615419984,0.25,0.25,0.25,0.25
2,86571.0,"(1235, 437)","[(104, 477), (190, 484), (275, 489), (358, 494), (439, 497), (519, 498), (598, 498), (675, 497), (750, 494), (824, 490), (896, 485), (967, 478), (1036, 470), (1104, 460), (1170, 449), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 33.76191398975682, 72.73328349550425, 78.71831152516665, 83.98491121361786, 88.60854821482005, 92.85393249188462, 96.65689413980726, 100.22171025239089, 103.47176269756531, 106.48918100354024]",0.24557544114486188,0.24916230247256366,0.24867128050163753,0.2489643680762701,0.24746274242762467,0.2510771695736074,0.25058237399082794,0.25087771400794,0.24557544114486188,0.24356867358084483,0.24337817916828342,0.24344807652922695,0.25162182027961694,0.24956564355045366,0.24937045892361012,0.24944207724631928,0.2425103237589285,0.2425103237589285,0.2425103237589285,0.2425103237589285,0.25,0.25,0.25,0.25
3,91781.0,"(1235, 437)","[(104, 477), (204, 451), (300, 430), (394, 411), (483, 395), (569, 383), (652, 374), (731, 368), (806, 366), (878, 366), (946, 370), (1011, 377), (1072, 387), (1130, 400), (1184, 417), (1235, 437)]",2,"[0, 0, 0, 0, 34.272146639177265, 39.60371188831391, 85.78258274433368, 92.01824688207483, 96.61638457181374, 100.20317692584601, 102.73846594748551, 104.56065834314703, 105.76151885394901, 106.47531632616975, 106.65732599957238, 106.48918100354024]",0.24984528807580741,0.25492609606510164,0.2534214200669076,0.2541750057989837,0.24679299915129577,0.2518117363524125,0.2503254425535372,0.25106982194275457,0.24984528807580741,0.2500583502120748,0.24792765290562097,0.24879127965697992,0.25069198248500246,0.2509057666621815,0.24876784868924665,0.24963440216356939,0.24510410584636927,0.24510410584636927,0.24510410584636927,0.24510410584636927,0.25,0.25,0.25,0.25
4,91109.0,"(1235, 437)","[(104, 477), (192, 503), (278, 525), (363, 543), (446, 557), (527, 567), (606, 573), (683, 574), (759, 572), (832, 565), (904, 554), (974, 539), (1042, 519), (1108, 496), (1172, 468), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 30.151911649682063, 33.50460354491278, 71.45638709207941, 77.1016438210446, 82.45885179742645, 87.54220120491482, 92.50742917937458, 97.22976086669584, 101.9260676418032, 106.48918100354024]",0.24477956564965989,0.24844201066964167,0.24757305875152052,0.24803051965272743,0.2475458522473511,0.2512496870481615,0.2503709149882374,0.25083354571625,0.24477956564965989,0.24252258562578793,0.2425115190782769,0.2424982434297089,0.251750042532319,0.24942879151001104,0.24941740982543623,0.24940375613223367,0.24214384020120888,0.24214384020120888,0.24214384020120888,0.24214384020120888,0.25,0.25,0.25,0.25
5,108799.0,"(1235, 437)","[(104, 477), (211, 418), (314, 368), (412, 326), (505, 292), (595, 265), (679, 247), (759, 236), (834, 234), (905, 239), (972, 252), (1033, 273), (1090, 302), (1143, 339), (1191, 384), (1235, 437)]",2,"[0, 0, 0, 0, 43.51136526322908, 97.44714689470013, 105.48167719826384, 110.91679812194988, 114.11579912938535, 115.87461548250172, 116.3925299873915, 115.8542204694519, 114.48914250856524, 112.42199853330916, 109.72091478017887, 106.48918100354024]",0.2522563068675222,0.25690384775364555,0.25601411484269876,0.25649016970311456,0.24690720083513978,0.2514561904132764,0.2505853243276639,0.2510512844239201,0.2522563068675222,0.25600142668636966,0.25404314684807017,0.2549363150023787,0.2479817961898779,0.25166345454425887,0.2497383579717519,0.2506163912941114,0.24833256729762934,0.24833256729762934,0.24833256729762934,0.24833256729762934,0.25,0.25,0.25,0.25
6,117753.0,"(1235, 437)","[(104, 477), (130, 417), (163, 366), (203, 323), (250, 288), (305, 261), (366, 242), (434, 231), (510, 229), (592, 234), (682, 248), (778, 269), (882, 299), (992, 337), (1110, 383), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 49.3676163598692, 102.32661210549165, 105.49522710467178, 107.3149317726533, 108.00788935435506, 107.93436901873417, 107.38795875342643, 106.48918100354024]",0.2500483785119514,0.259040002003492,0.25800889773806934,0.25865311707687383,0.2437711744009737,0.2525370725497572,0.2515318530829974,0.2521598999662716,0.2500483785119514,0.2579236160971205,0.25562620180330375,0.25662986493866413,0.24509066941446814,0.25280976466728866,0.2505579012057266,0.25154166471251665,0.24508739956113093,0.24508739956113093,0.24508739956113093,0.24508739956113093,0.25,0.25,0.25,0.25
7,95027.0,"(1235, 437)","[(104, 477), (142, 457), (185, 440), (234, 426), (288, 414), (347, 404), (412, 397), (482, 392), (557, 389), (638, 389), (724, 391), (815, 395), (912, 402), (1014, 411), (1122, 423), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 34.427932079477, 38.618791757017306, 82.71862334591825, 88.7184459831582, 93.7459765314043, 97.88667981008754, 101.33351078251718, 104.14801774833987, 106.48918100354024]",0.24569789932390115,0.25112719478513634,0.24969789966744532,0.2504322418970957,0.2464482762437161,0.25189415311657987,0.25046049284122623,0.25119707779847783,0.24569789932390115,0.24461351340592313,0.2438055137119768,0.2440799378132623,0.2511742863856041,0.2500657304725734,0.2492397211860259,0.24952026195579668,0.24238367637243907,0.24238367637243907,0.24238367637243907,0.24238367637243907,0.25,0.25,0.25,0.25
8,116343.0,"(1235, 437)","[(104, 477), (122, 428), (148, 386), (183, 350), (225, 322), (276, 299), (335, 283), (403, 274), (478, 271), (562, 275), (653, 286), (753, 303), (861, 326), (978, 357), (1102, 393), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 43.997753314747975, 47.47502607831524, 98.1566639831961, 101.62267457915934, 103.9851519811335, 105.35417405057143, 106.2064990068699, 106.48918100354024]",0.2478117151537153,0.2567343024293862,0.25422179757349933,0.2554717677247595,0.24433252195670105,0.25312983910569525,0.25065260897359065,0.25188502996401296,0.2478117151537153,0.252840640959707,0.24876221355876205,0.25009482516082016,0.24793335253754073,0.2529647467715408,0.24888431749090723,0.2502175832000112,0.2434100007861507,0.2434100007861507,0.2434100007861507,0.2434100007861507,0.25,0.25,0.25,0.25
9,101547.0,"(1235, 437)","[(104, 477), (133, 447), (169, 422), (212, 400), (261, 382), (317, 368), (380, 358), (448, 351), (524, 349), (606, 350), (694, 355), (789, 363), (891, 376), (999, 392), (1113, 413), (1235, 437)]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 39.88380448889257, 85.4436095920691, 91.27946547745469, 96.04938760362543, 99.70216888192775, 102.61211079084211, 104.74476414758843, 106.48918100354024]",0.2461680982463862,0.2521180567631941,0.25120055459368507,0.25174595232627683,0.24586502978436525,0.2518076630433935,0.2508912904514918,0.25143601672074944,0.2461680982463862,0.24589284142125392,0.24508630463651607,0.24541343246128094,0.2505372991892621,0.25025715687170225,0.24943630498559485,0.24976923895344078,0.24257871607384524,0.24257871607384524,0.24257871607384524,0.24257871607384524,0.25,0.25,0.25,0.25
