,cost,target,path,vis1-flat,vis2-dist,vis3-angle,vis4-angle-dist,no-vis,l_agnostic-vis1-flat,l_a-vis1-flat,l_b-vis1-flat,l_multi-vis1-flat,l_agnostic-vis2-dist,l_a-vis2-dist,l_b-vis2-dist,l_multi-vis2-dist,l_agnostic-vis3-angle,l_a-vis3-angle,l_b-vis3-angle,l_multi-vis3-angle,l_agnostic-vis4-angle-dist,l_a-vis4-angle-dist,l_b-vis4-angle-dist,l_multi-vis4-angle-dist,l_agnostic-no-vis,l_a-no-vis,l_b-no-vis,l_multi-no-vis
0,62093.0,"(1035, 567)","[(104, 477), (170, 457), (236, 442), (301, 430), (366, 421), (430, 417), (493, 416), (556, 418), (618, 424), (679, 434), (740, 447), (800, 463), (860, 484), (919, 508), (977, 535), (1035, 567)]","[0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 12.842941137049706, 69.32959237950882, 122.23911613497631, 217.58373557519576, 299.7128803992642, 361.4312131243663, 394.5196342116119, 396.175217474873, 366.4980367064563, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 33.39051052274934, 36.61283887963894, 76.55463890454001, 80.29002544064292, 83.19294943855226, 85.34121505935062, 86.72063132803295, 87.5960208580296, 88.05168342513744, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 16.11576808139561, 108.53618283632078, 228.30885791746795, 455.14763998638034, 694.3043830982383, 907.1211272524615, 1043.217183960882, 1082.1954783128726, 1016.3217335158561, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-62092.61827064528,-62092.72333293835,-62092.699070111106,-62092.729580720035,-62092.61827064528,-62092.850351482135,-62092.79967553256,-62092.8132449079,-62092.61827064528,-62092.80607409176,-62092.743454207746,-62092.767868423194,-62092.61827064528,-62092.854861044325,-62092.81409831718,-62092.82474180595,-62092.443439224444,-62092.443439224444,-62092.443439224444,-62092.443439224444
1,85093.0,"(1035, 567)","[(104, 477), (98, 477), (101, 478), (115, 480), (138, 483), (171, 487), (214, 491), (266, 497), (328, 503), (400, 509), (481, 517), (572, 525), (673, 534), (784, 544), (904, 555), (1035, 567)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24.916849383184285, 91.82111764570669, 214.81583087471336, 299.44413247094946, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31.00191849110616, 35.117963565249134, 75.94961504138901, 82.36674542546933, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26.638663436949372, 129.59432289468344, 378.9632328957583, 662.7696172214405, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-85092.4053441061,-85092.40307917487,-85092.48608908267,-85092.48436342078,-85092.4053441061,-85093.04694373124,-85092.73588532531,-85092.64209993719,-85092.4053441061,-85091.96844163253,-85092.70874240261,-85092.69367657008,-85092.4053441061,-85092.946187519,-85092.58822929191,-85093.48672767,-85092.19703387166,-85092.19703387166,-85092.19703387166,-85092.19703387166
2,118009.0,"(1035, 567)","[(104, 477), (260, 442), (402, 414), (531, 391), (647, 374), (750, 363), (839, 357), (914, 357), (976, 363), (1025, 375), (1060, 393), (1082, 416), (1090, 445), (1085, 480), (1066, 520), (1035, 567)]","[0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 57.48785327405983, 216.9167829803876, 411.4821385485062, 563.828844889314, 659.3074601614901, 691.006825960926, 673.774268192057, 629.5643043789207, 575.7006192584067, 518.0589859049312, 456.2233856597858, 388.6706358026194, 305.04714713562186]","[0, 0, 0, 37.18268745969506, 85.40110189308251, 93.80747590123187, 99.36129878745169, 102.79112084873319, 104.65846410133102, 105.27097776466212, 104.77644123257744, 103.4006125183441, 101.04528780600836, 97.73259646910634, 93.45474845944887, 88.03128509223856]","[0, 0, 0, 93.68118516334295, 557.4662908125376, 1514.968077079434, 2783.618334163465, 4030.0453723033115, 4800.28510606548, 4872.0988620111, 4359.339724559058, 3593.7876220875605, 2761.526473844613, 2000.8154083228646, 1368.0571301469975, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-118008.69909862823,-118008.7684695381,-118008.74578862553,-118008.76308272802,-118008.69909862823,-118008.81330681992,-118008.79117702931,-118008.8007540777,-118008.69909862823,-118008.79234621183,-118008.76725375373,-118008.77893682815,-118008.69909862823,-118008.82009943639,-118008.80940549342,-118008.8137339554,-118008.5784735137,-118008.5784735137,-118008.5784735137,-118008.5784735137
3,89191.0,"(1035, 567)","[(104, 477), (206, 421), (302, 374), (393, 336), (478, 307), (557, 287), (630, 275), (698, 272), (760, 278), (816, 293), (867, 317), (912, 349), (951, 390), (985, 440), (1012, 499), (1035, 567)]","[0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 29.15395297401085, 110.35272360761968, 235.75376230459455, 371.2159595727352, 490.90036817614515, 589.5146092955943, 655.2918657584871, 669.9640442519503, 631.3399412757472, 551.0782718289272, 439.7090569492875, 305.04714713562186]","[0, 0, 0, 0, 40.837644668195864, 46.288376659811554, 98.29813785877198, 102.88122569158833, 105.27746469129127, 105.95819797151475, 105.29372433952611, 103.58019821271498, 100.86489814892354, 97.32076069590988, 92.96719406103827, 88.03128509223856]","[0, 0, 0, 0, 62.1311290606286, 372.53418570899686, 1131.0015080192297, 2344.53982029778, 3680.522828295382, 4644.912789642335, 4860.192316487293, 4333.307354698646, 3379.8363326377034, 2385.523469861493, 1518.968560134589, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-89190.63295654967,-89190.70945186116,-89190.66727400124,-89190.69298971629,-89190.63295654967,-89190.7811337089,-89190.74174779415,-89190.75550066617,-89190.63295654967,-89190.74506545784,-89190.68685658234,-89190.71049177732,-89190.63295654967,-89190.78313490197,-89190.75847497894,-89190.7662135254,-89190.47888916067,-89190.47888916067,-89190.47888916067,-89190.47888916067
4,72621.0,"(1035, 567)","[(104, 477), (120, 503), (143, 526), (172, 547), (208, 564), (251, 579), (300, 591), (356, 600), (418, 606), (486, 609), (561, 609), (643, 606), (731, 601), (826, 592), (927, 581), (1035, 567)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17.255761297972583, 70.5852820407759, 174.6022614421554, 261.60292703914655, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.245448270210996, 34.122907883469026, 74.20257044248288, 81.30633796255984, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17.540450296161787, 93.0775013730161, 289.0491910363036, 555.063504911864, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-72620.48987739196,-72620.48829685515,-72620.56462400749,-72620.56341978897,-72620.48987739196,-72621.01574932336,-72620.76727698454,-72620.5580909898,-72620.48987739196,-72620.06384544037,-72620.77005303049,-72620.75805490292,-72620.48987739196,-72620.9471064642,-72619.28170697027,-72621.0326565128,-72620.2926674447,-72620.2926674447,-72620.2926674447,-72620.2926674447
5,61915.0,"(1035, 567)","[(104, 477), (164, 508), (224, 535), (284, 559), (345, 580), (407, 596), (468, 609), (530, 619), (592, 625), (654, 627), (717, 626), (780, 622), (843, 613), (907, 601), (970, 586), (1035, 567)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 7.106502376020387, 41.93231941120314, 79.47022287356953, 150.63520870154713, 213.95509965613513, 265.58767968690887, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 29.75609218147262, 32.42499672630283, 68.32120915284756, 73.41477629840534, 78.40261629860619, 83.1871013908557, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 6.991878862267119, 49.30753066968714, 110.15279932016571, 242.61226782638033, 408.16922231246645, 603.9340555572373, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-61914.61488396442,-61914.67810053744,-61914.71713304552,-61914.74045597774,-61914.61488396442,-61914.777174324634,-61914.85464766079,-61914.852792426944,-61914.61488396442,-61914.856151440654,-61914.82872614773,-61914.84198330647,-61914.61488396442,-61915.1364140798,-61914.84542413346,-61914.82375363415,-61914.43919706483,-61914.43919706483,-61914.43919706483,-61914.43919706483
6,65269.0,"(1035, 567)","[(104, 477), (153, 450), (203, 429), (256, 412), (311, 400), (367, 392), (426, 389), (486, 390), (548, 396), (612, 407), (678, 422), (745, 442), (815, 466), (886, 495), (959, 528), (1035, 567)]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 15.742836914104089, 71.28447660482362, 126.41041043474257, 228.58811127272264, 313.6967491578932, 375.45716315400125, 397.6938768257656, 375.58069293573703, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 34.80266432891803, 37.69571196987671, 78.21103133433054, 81.66361240761756, 84.10109508717946, 85.94139837467999, 87.07806375151698, 87.78940816645292, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 21.744071510515298, 120.47544823621942, 250.85445012077082, 503.6275422868196, 752.8210979071922, 964.5846216928263, 1065.4192288679612, 1031.3274772758923, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-65268.56947832284,-65268.67310144126,-65268.659088674365,-65268.69161759772,-65268.56947832284,-65268.83258282594,-65268.77840819654,-65268.791495324636,-65268.56947832284,-65268.78704477358,-65268.717236930825,-65268.74336599688,-65268.56947832284,-65268.83677290783,-65268.791825252,-65268.80217382463,-65268.385605503805,-65268.385605503805,-65268.385605503805,-65268.385605503805
7,81733.0,"(1035, 567)","[(104, 477), (103, 493), (111, 508), (128, 521), (154, 533), (189, 544), (233, 553), (286, 560), (348, 566), (419, 571), (499, 574), (588, 575), (686, 575), (793, 574), (909, 571), (1035, 567)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.5929089950466846, 67.98148187838058, 174.5925775225336, 272.02699998747266, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29.18905644642681, 33.57914796747448, 73.66487895495389, 81.19041883687689, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.4037783776709416, 86.39994789842977, 284.55681685881564, 575.389442232647, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-81732.42786825565,-81732.42577820933,-81732.50702400017,-81732.50543158394,-81732.42786825565,-81733.01189748317,-81732.71623367623,-81732.04132155508,-81732.42786825565,-81731.90125892266,-81732.7225207826,-81732.70636272544,-81732.42786825565,-81732.9396798648,-81733.9517383327,-81733.00428051618,-81732.2225816825,-81732.2225816825,-81732.2225816825,-81732.2225816825
8,91979.0,"(1035, 567)","[(104, 477), (220, 537), (329, 589), (430, 634), (524, 671), (609, 700), (687, 721), (757, 735), (819, 741), (873, 739), (920, 730), (958, 713), (989, 688), (1012, 655), (1027, 615), (1035, 567)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.73669684007615, 67.47280868275658, 133.5548840539252, 211.7167069123588, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36.889837848953206, 75.81246183455815, 79.63687037134974, 83.632429832865, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.927345887864472, 116.5930660606965, 264.0464125112592, 487.3790123968978, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-91978.68634903144,-91978.70786813245,-91978.73134088621,-91978.74426958658,-91978.68634903144,-91979.2466506719,-91978.78322279353,-91978.5763102551,-91978.68634903144,-91978.84315201154,-91978.859822874,-91978.86479593844,-91978.68634903144,-91978.92633923645,-91978.98216992652,-91978.9291223247,-91978.54610275233,-91978.54610275233,-91978.54610275233,-91978.54610275233
9,73961.0,"(1035, 567)","[(104, 477), (211, 510), (311, 539), (405, 564), (493, 586), (575, 603), (649, 617), (718, 627), (780, 633), (836, 635), (885, 633), (928, 628), (964, 618), (994, 605), (1017, 588), (1035, 567)]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 12.199835998387528, 41.55043897937912, 62.87301616120743, 105.10123167325565, 141.33466290155212, 171.31563112191412, 201.65684062130453, 231.64811029795584, 265.50188602082994, 305.04714713562186]","[0, 0, 0, 0, 0, 0, 29.996557830990742, 32.41925014860462, 34.48797320469721, 71.0230576094271, 74.31262844700349, 77.28711888851976, 80.13529424518477, 82.8077117459091, 85.39092074535736, 88.03128509223856]","[0, 0, 0, 0, 0, 0, 12.197036726413657, 48.83964657649342, 84.99375271373773, 156.94279826584994, 234.00819857269093, 313.51796514276117, 408.25978296514285, 517.9513612750304, 656.6541017880263, 841.0741897607702]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-73960.69738607047,-73960.78741422923,-73960.79488835773,-73960.81543932298,-73960.69738607047,-73960.89040563197,-73960.86464975098,-73960.87240861404,-73960.69738607047,-73960.88484649203,-73960.84227523503,-73960.85652158629,-73960.69738607047,-73960.89145602254,-73960.8709431443,-73960.87694299761,-73960.54812196833,-73960.54812196833,-73960.54812196833,-73960.54812196833
